,N,Execution time,M,P,G
0,1.0,0.0,1000.0,100.0,12.0
1,11.0,0.003995656967163086,1000.0,100.0,98.0
2,21.0,0.008006572723388672,1000.0,100.0,225.0
3,31.0,0.01197671890258789,1000.0,100.0,318.0
4,41.0,0.015990734100341797,1000.0,100.0,424.0
5,51.0,0.022986412048339844,1000.0,100.0,503.0
6,61.0,0.02398514747619629,1000.0,100.0,606.0
7,71.0,0.02698230743408203,1000.0,100.0,784.0
8,81.0,0.0319828987121582,1000.0,100.0,794.0
9,91.0,0.03897809982299805,1000.0,100.0,872.0
10,101.0,0.044974327087402344,1000.0,100.0,979.0
11,111.0,0.04295754432678223,1000.0,100.0,1071.0
12,121.0,0.04697060585021973,1000.0,100.0,1222.0
13,131.0,0.05097055435180664,1000.0,100.0,1284.0
14,141.0,0.05496692657470703,1000.0,100.0,1335.0
15,151.0,0.058947086334228516,1000.0,100.0,1529.0
16,161.0,0.06196165084838867,1000.0,100.0,1610.0
17,171.0,0.0669565200805664,1000.0,100.0,1687.0
18,181.0,0.06895947456359863,1000.0,100.0,1793.0
19,191.0,0.07397103309631348,1000.0,100.0,1918.0
20,201.0,0.0789494514465332,1000.0,100.0,1956.0
21,211.0,0.08195376396179199,1000.0,100.0,2062.0
22,221.0,0.08596301078796387,1000.0,100.0,2202.0
23,231.0,0.08894658088684082,1000.0,100.0,2335.0
24,241.0,0.09294557571411133,1000.0,100.0,2348.0
25,251.0,0.09994053840637207,1000.0,100.0,2500.0
26,261.0,0.10395240783691406,1000.0,100.0,2624.0
27,271.0,0.10595011711120605,1000.0,100.0,2631.0
28,281.0,0.14789843559265137,1000.0,100.0,2818.0
29,291.0,0.11293721199035645,1000.0,100.0,2893.0
30,301.0,0.11793136596679688,1000.0,100.0,3047.0
31,311.0,0.12492609024047852,1000.0,100.0,3095.0
32,321.0,0.12591266632080078,1000.0,100.0,3278.0
33,331.0,0.1309194564819336,1000.0,100.0,3359.0
34,341.0,0.13293123245239258,1000.0,100.0,3419.0
35,351.0,0.1359236240386963,1000.0,100.0,3432.0
36,361.0,0.13991832733154297,1000.0,100.0,3595.0
37,371.0,0.14491653442382812,1000.0,100.0,3705.0
38,381.0,0.14691472053527832,1000.0,100.0,3804.0
39,391.0,0.15491175651550293,1000.0,100.0,3966.0
40,401.0,0.15890765190124512,1000.0,100.0,3978.0
41,411.0,0.15890932083129883,1000.0,100.0,4069.0
42,421.0,0.16590213775634766,1000.0,100.0,4188.0
43,431.0,0.16990160942077637,1000.0,100.0,4326.0
44,441.0,0.17589735984802246,1000.0,100.0,4342.0
45,451.0,0.18189573287963867,1000.0,100.0,4611.0
46,461.0,0.17989778518676758,1000.0,100.0,4577.0
